Year Won,Category Won,Who Won?,What Show Was It? (Might Be Same as Last)
1961,Best Direction of a Musical,Gower Champion,Bye Bye Birdie
1961,Best Direction of a Play,Sir John Gielgud ,"Big Fish, Little Fish"
1961,Best Musical,Bye Bye Birdie,Bye Bye Birdie
1961,Best Play,Becket,Becket
1961,Best Producer of a Musical,Edward Padula,Bye Bye Birdie
1961,Best Producer of a Play,David Merrick,Becket
1961,Best Scenic Design of a Play,Oliver Smith,Becket
1961,Best Scenic Design of a Musical,Oliver Smith,Camelot
1962,Best Performance by an Actor in a Leading Role in a Musical,Robert Morse,How to Succeed in Business Without Really Trying
1962,Best Performance by an Actor in a Leading Role in a Play,Paul Scofield,A Man for All Seasons
1962,Best Performance by an Actress in a Leading Role in a Musical,Anne Maria Alberghetti,Carnival
1962,Best Performance by an Actress in a Leading Role in a Musical,Diahann Carroll,No Strings
1962,Best Performance by an Actress in a Leading Role in a Play,Margaret Leighton,The Night of the Iguana
1962,Best Performance by an Actor in a Featured Role in a Musical,Charles Nelson Reilly,How to Succeed in Business Without Really Trying
1962,Best Performance by an Actor in a Featured Role in a Play,Walter Matthau,A Shot in the Dark
1962,Best Performance by an Actress in a Featured Role in a Musical,Phyllis Newman,Subways Are for Sleeping
1962,Best Performance by an Actress in a Featured Role in a Play,Elizabeth Ashley,"Take Her, She's Mine"
1962,Best Book of a Musical,Abe Burrows,How to Succeed in Business Without Really Trying
1962,Best Book of a Musical,Jack Weinstock,How to Succeed in Business Without Really Trying
1962,Best Book of a Musical,Willie Gilbert,How to Succeed in Business Without Really Trying
1962,Best Choreography,Joe Layton,No Strings
1962,Best Choreography,Agnes de Mille,Kwamina
1962,Conductor And Musical Director,Elliot Lawrence,How to Succeed in Business Without Really Trying
1962,Best Costume Design of a Musical,Lucinda Ballard,The Gay Life
1962,Best Direction of a Musical,Abe Burrows,How to Succeed in Business Without Really Trying
1962,Best Direction of a Play,Noel Willman,A Man for All Seasons
1962,Best Musical,How to Succeed in Business Without Really Trying,How to Succeed in Business Without Really Trying
1962,Best Original Score,Richard Rodgers,No Strings
1962,Best Play,A Man for All Seasons,A Man for All Seasons
1962,Best Producer of a Musical,Cy Feuer,How to Succeed in Business Without Really Trying
1962,Best Producer of a Musical,Ernest Martin,How to Succeed in Business Without Really Trying
1962,Best Producer of a Play,Robert Whitehead,A Man for All Seasons
1962,Best Producer of a Play,Roger L. Stevens,A Man for All Seasons
1962,Best Scenic Design of a Musical,Will Steven Armstrong,Carnival
1963,Best Performance by an Actor in a Leading Role in a Musical,Zero Mostel,A Funny Thing Happened on the Way to the Forum
1963,Best Performance by an Actor in a Leading Role in a Play,Arthur Hill,Who's Afraid of Virginia Woolf?
1963,Best Performance by an Actress in a Leading Role in a Musical,Vivien Leigh,Tovarich
1963,Best Performance by an Actress in a Leading Role in a Play,Uta Hagen,Who's Afraid of Virginia Woolf?
1963,Best Performance by an Actor in a Featured Role in a Musical,David Burns,A Funny Thing Happened on the Way to the Forum
1963,Best Performance by an Actor in a Featured Role in a Play,Alan Arkin,Enter Laughing
1963,Best Performance by an Actress in a Featured Role in a Musical,Anna Quayle,Stop the World - I Want to Get Off
1963,Best Performance by an Actress in a Featured Role in a Play,Sandy Dennis,A Thousand Clowns
1963,Best Book of a Musical,Burt Shevelove,A Funny Thing Happened on the Way to the Forum
1963,Best Book of a Musical,Larry Gelbart,A Funny Thing Happened on the Way to the Forum
1963,Best Choreography,Bob Fosse,Little Me
1963,Conductor And Musical Director,Donald Pippin,Oliver!
1963,Best Costume Design of a Play,Anthony Powell,The School for Scandal
1963,Best Direction of a Musical,George Abbott,A Funny Thing Happened on the Way to the Forum
1963,Best Direction of a Play,Alan Schneider,Who's Afraid of Virginia Woolf?
1963,Best Musical,A Funny Thing Happened on the Way to the Forum,A Funny Thing Happened on the Way to the Forum
1963,Best Play,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?
1963,Best Original Score,Lionel Bart,Oliver!
1963,Best Producer of a Musical,Harold Prince,A Funny Thing Happened on the Way to the Forum
1963,Best Producer of a Play,Richard Barr,Who's Afraid of Virginia Woolf?
1963,Best Producer of a Play,Clinton Wilder,Who's Afraid of Virginia Woolf?
1963,Best Producer of a Play,Theatre 1963,Who's Afraid of Virginia Woolf?
1963,Best Scenic Design of a Musical,Sean Kenny,Oliver!
1964,Best Performance by an Actor in a Leading Role in a Musical,Bert Lahr,Foxy
1964,Best Performance by an Actor in a Leading Role in a Play,Alec Guinness,Dylan
1964,Best Performance by an Actress in a Leading Role in a Musical,Carol Channing,"Hello, Dolly!"
1964,Best Performance by an Actress in a Leading Role in a Play,Sandy Dennis,Any Wednesday
1964,Best Performance by an Actor in a Featured Role in a Musical,Jack Cassidy,She Loves Me
1964,Best Performance by an Actor in a Featured Role in a Play,Hume Cronyn,Hamlet
1964,Best Performance by an Actress in a Featured Role in a Musical,Tessie O'Shea,The Girl Who Came to Supper
